file_name,column_name,dtype_hint,description
run_metadata.csv,run_id,str,Stable run identifier for this OUT_DIR.
run_metadata.csv,started_at_utc,str,"Run start time (UTC, ISO-8601)."
run_metadata.csv,finished_at_utc,str,"Run finish time (UTC, ISO-8601)."
run_metadata.csv,appview_host,str,AppView base host used for reads.
run_metadata.csv,relay_host,str,Relay base host used for indexing.
run_metadata.csv,auth_mode,str,unauth|auth|both.
run_metadata.csv,rps,float,Client-side request rate limit (requests/sec).
run_metadata.csv,max_retries,int,Max retries for 429/5xx/network errors.
run_metadata.csv,posts_per_feed,int,Requested ranked items per feed snapshot.
run_metadata.csv,n_discovery,int,Target number of discovery_surfaced feeds.
run_metadata.csv,n_popular,int,Target number of popular feeds.
run_metadata.csv,n_less_known,int,Target number of less_known feeds.
run_summary.csv,num_starterpacks_seen,int,Starter packs collected.
run_summary.csv,num_unique_feeds_from_starterpacks,int,Distinct feed URIs observed in starter packs.
run_summary.csv,num_popular_feeds_seen,int,Distinct feeds from popular feed endpoint.
run_summary.csv,num_feed_generators_indexed,int,Feed generators discovered via indexing.
run_summary.csv,num_feeds_panel,int,Feeds selected for snapshotting.
run_summary.csv,num_feeds_snapshotted_success,int,Successful snapshot rows.
run_summary.csv,num_feed_items,int,Total ranked feed items collected.
run_summary.csv,num_unique_posts,int,Unique posts collected (post_uri+cid).
run_summary.csv,num_unique_authors,int,Unique authors observed in feed items.
run_summary.csv,auth_profile_hydration_rate,float,Hydrated authors / unique authors.
run_summary.csv,snapshot_success_rate,float,Successful snapshots / expected snapshots.
run_summary.csv,mapping_notes,str,High-level notes about data sources.
errors.csv,stage,str,Pipeline stage name.
errors.csv,key,str,"Entity key (e.g., feed_uri, starterpack_uri)."
errors.csv,error_type,str,Error classification.
errors.csv,http_status,int,HTTP status code when applicable.
errors.csv,error_message,str,Short error message.
errors.csv,when_utc,str,"Error time (UTC, ISO-8601)."
errors.csv,retry_count,int,Retry attempt count at time of error.
feed_generators_index.csv,feed_uri,str,Feed generator at-uri.
feed_generators_index.csv,creator_did,str,Creator DID (repo DID).
feed_generators_index.csv,rkey,str,Record key component of at-uri.
feed_generators_index.csv,service_did,str,Service DID hosting the generator.
feed_generators_index.csv,provider_bucket,str,did:web domain or plc_bucket.
feed_generators_index.csv,display_name,str,Display name (if present).
feed_generators_index.csv,description,str,Description (if present).
feed_generators_index.csv,accepts_interaction,int,Whether interactions are accepted (if present).
feed_generators_index.csv,content_mode,str,Content mode (if present).
feed_generators_index.csv,indexed_at,str,IndexedAt timestamp (if present).
starterpacks.csv,starterpack_uri,str,Starter pack at-uri.
starterpacks.csv,creator_did,str,Creator DID (if present).
starterpacks.csv,name,str,Starter pack name (if present).
starterpacks.csv,description,str,Starter pack description (if present).
starterpacks.csv,collected_at_utc,str,"Collection time (UTC, ISO-8601)."
starterpack_feeds.csv,starterpack_uri,str,Starter pack at-uri.
starterpack_feeds.csv,slot_index,int,0-based feed slot index within the pack.
starterpack_feeds.csv,feed_uri,str,Feed generator at-uri.
discovery_feed_inclusions.csv,feed_uri,str,Feed generator at-uri.
discovery_feed_inclusions.csv,inclusion_count,int,Number of packs containing the feed.
discovery_feed_inclusions.csv,slot_count,int,Total appearances across all packs.
discovery_feed_inclusions.csv,inclusion_rank,int,Rank by slot_count desc.
popular_feeds.csv,feed_uri,str,Feed generator at-uri.
popular_feeds.csv,popularity_rank,int,Rank order returned by popular endpoint (first seen).
popular_feeds.csv,collected_at_utc,str,"Collection time (UTC, ISO-8601)."
feed_panel.csv,feed_uri,str,Feed generator at-uri.
feed_panel.csv,feed_group,str,discovery_surfaced|popular|less_known.
feed_panel.csv,selection_reason,str,Why this feed was selected.
feed_panel.csv,provider_bucket,str,did:web domain or plc_bucket.
feed_panel.csv,service_did,str,Service DID hosting the generator.
feed_panel.csv,creator_did,str,Creator DID.
feed_panel.csv,display_name,str,Feed display name.
feed_panel.csv,inclusion_count,int,Starter pack inclusion_count if known.
feed_panel.csv,popularity_rank,int,Popularity rank if known.
feed_snapshot_status.csv,feed_uri,str,Feed generator at-uri.
feed_snapshot_status.csv,feed_group,str,Feed group label.
feed_snapshot_status.csv,viewer_mode,str,unauth|auth.
feed_snapshot_status.csv,collected_at_utc,str,"Snapshot time (UTC, ISO-8601)."
feed_snapshot_status.csv,requested_items,int,Requested items per feed (config).
feed_snapshot_status.csv,returned_items,int,Items returned by API.
feed_snapshot_status.csv,pages_fetched,int,Pagination pages fetched.
feed_snapshot_status.csv,success,int,1 if snapshot succeeded else 0.
feed_snapshot_status.csv,http_status,int,HTTP status code when failure is HTTP.
feed_snapshot_status.csv,error_type,str,Error classification.
feed_snapshot_status.csv,error_message_short,str,Short error message.
feed_items.csv.gz,feed_uri,str,Feed generator at-uri.
feed_items.csv.gz,feed_group,str,Feed group label.
