cluster_rank,cluster_text,cluster_context_count,cluster_unique_posts,cluster_unique_authors,cluster_total_context_exposure,weighted_mean_gap_equal,weighted_mean_gap_timing_author_trajectory,max_gap_timing_author_trajectory,mean_riskset_size,max_riskset_size,mean_shown_count,mean_zero_share,max_zero_share,worst_context_id,worst_context_gap_timing_author_trajectory,worst_context_total_y,worst_context_riskset_size,worst_context_shown_count,worst_context_viewer_mode,worst_context_bucket,worst_context_feed_uri,worst_context_window_start_utc,worst_context_window_end_utc,sample_rank,post_uri,post_url,author_did,author_handle,record_created_at,indexed_at,first_seen_captured_at_utc,first_seen_feed_uri,first_seen_bucket,raw_text,total_exposure,shown_context_count,context_count,first_monitored_delay_minutes,mean_age_hours,min_age_hours,max_age_hours
1,commission,16,3,3,4.797585,0.623419,0.605109,0.94769,2.75,3,1.0,0.625,0.666667,2581,0.94769,0.193426,3,1,auth,longtail_random,at://did:plc:pl6xzfojygthmdwlsbo5bcls/app.bsky.feed.generator/aaabgeoafvxb2,2026-03-19T19:10:00Z,2026-03-19T19:20:00Z,1,at://did:plc:l2ggkkykc6rq4wftnwehtkxx/app.bsky.feed.post/3mhgpmzbjb22j,https://bsky.app/profile/did:plc:l2ggkkykc6rq4wftnwehtkxx/post/3mhgpmzbjb22j,did:plc:l2ggkkykc6rq4wftnwehtkxx,chocomint-null.bsky.social,2026-03-19T19:15:57.767Z,2026-03-19T19:16:07.762Z,2026-03-19T19:20:02Z,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic,popular_by_likecount,commission,3.359262,11,15,3.904,7.789509,0.067287,23.233954
1,commission,16,3,3,4.797585,0.623419,0.605109,0.94769,2.75,3,1.0,0.625,0.666667,2581,0.94769,0.193426,3,1,auth,longtail_random,at://did:plc:pl6xzfojygthmdwlsbo5bcls/app.bsky.feed.generator/aaabgeoafvxb2,2026-03-19T19:10:00Z,2026-03-19T19:20:00Z,2,at://did:plc:wsnkweltmdbchiywwfwsfclp/app.bsky.feed.post/3mhgfnq6z6c2d,https://bsky.app/profile/did:plc:wsnkweltmdbchiywwfwsfclp/post/3mhgfnq6z6c2d,did:plc:wsnkweltmdbchiywwfwsfclp,hizzacked.newgrounds.com,2026-03-19T16:17:24.387Z,2026-03-19T16:17:28.551Z,2026-03-19T16:20:00Z,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic,popular_by_likecount,commission,0.980082,4,22,2.5242,5.664438,0.209893,14.543226
1,commission,16,3,3,4.797585,0.623419,0.605109,0.94769,2.75,3,1.0,0.625,0.666667,2581,0.94769,0.193426,3,1,auth,longtail_random,at://did:plc:pl6xzfojygthmdwlsbo5bcls/app.bsky.feed.generator/aaabgeoafvxb2,2026-03-19T19:10:00Z,2026-03-19T19:20:00Z,3,at://did:plc:ug4no2dvxeam4hkcin7pkygi/app.bsky.feed.post/3mhgktyrnk22s,https://bsky.app/profile/did:plc:ug4no2dvxeam4hkcin7pkygi/post/3mhgktyrnk22s,did:plc:ug4no2dvxeam4hkcin7pkygi,dangelo404.bsky.social,2026-03-19T17:50:23.419Z,2026-03-19T17:50:33.651Z,2026-03-19T17:53:29Z,at://did:plc:rfqlb6j2mer4j7gww7gufxhb/app.bsky.feed.generator/aaanctlnxg64i,longtail_random,commission,0.773706,2,19,2.9225,6.177705,0.160161,23.493495
2,👀,30,10,10,6.946089,0.815676,0.533645,0.979301,5.9333,8,1.0,0.814722,0.875,5573,0.979301,0.224244,8,1,auth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-20T12:50:00Z,2026-03-20T13:00:00Z,1,at://did:plc:3vsj6vhkx75453y3zulbeqq5/app.bsky.feed.post/3mhhqpip72k2b,https://bsky.app/profile/did:plc:3vsj6vhkx75453y3zulbeqq5/post/3mhhqpip72k2b,did:plc:3vsj6vhkx75453y3zulbeqq5,melcolemanart.bsky.social,2026-03-20T05:07:54.519Z,2026-03-20T05:08:01.160Z,2026-03-20T05:08:14Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,👀,4.617174,19,56,17.964,9.972356,0.368189,22.701522
2,👀,30,10,10,6.946089,0.815676,0.533645,0.979301,5.9333,8,1.0,0.814722,0.875,5573,0.979301,0.224244,8,1,auth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-20T12:50:00Z,2026-03-20T13:00:00Z,2,at://did:plc:xvr6x3yam5mq4a6q2suxbt5u/app.bsky.feed.post/3mhg75g2ikx2h,https://bsky.app/profile/did:plc:xvr6x3yam5mq4a6q2suxbt5u/post/3mhg75g2ikx2h,did:plc:xvr6x3yam5mq4a6q2suxbt5u,gottalaff.bsky.social,2026-03-19T14:20:54.334Z,2026-03-19T14:20:54.554Z,2026-03-19T14:23:50Z,at://did:plc:jijwtzgroy76samnivlqrpec/app.bsky.feed.generator/indy-journo,longtail_random,👀,0.84124,2,43,2.9241,13.682582,0.151574,22.818241
2,👀,30,10,10,6.946089,0.815676,0.533645,0.979301,5.9333,8,1.0,0.814722,0.875,5573,0.979301,0.224244,8,1,auth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-20T12:50:00Z,2026-03-20T13:00:00Z,3,at://did:plc:vpsa4gvwydxppfkkap37soy4/app.bsky.feed.post/3mhghhxyijc2l,https://bsky.app/profile/did:plc:vpsa4gvwydxppfkkap37soy4/post/3mhghhxyijc2l,did:plc:vpsa4gvwydxppfkkap37soy4,mariahaskins.com,2026-03-19T16:49:58.722Z,2026-03-19T16:49:59.060Z,2026-03-19T17:03:18Z,at://did:plc:jvrpllofboqntf5oz23ozuyp/app.bsky.feed.generator/aaabjki7ewirq,popular_by_likecount,👀,0.399147,2,43,13.3157,15.605006,0.333688,23.333688
2,👀,30,10,10,6.946089,0.815676,0.533645,0.979301,5.9333,8,1.0,0.814722,0.875,5573,0.979301,0.224244,8,1,auth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-20T12:50:00Z,2026-03-20T13:00:00Z,4,at://did:plc:sumljnf5753zssqvatmnrpvs/app.bsky.feed.post/3mhikxbp5as2z,https://bsky.app/profile/did:plc:sumljnf5753zssqvatmnrpvs/post/3mhikxbp5as2z,did:plc:sumljnf5753zssqvatmnrpvs,sockynoob.bsky.social,2026-03-20T12:57:32.919Z,2026-03-20T12:57:34.263Z,2026-03-20T13:01:06Z,at://did:plc:jdkvwye2lf4mingzk7qdebzc/app.bsky.feed.generator/furry-new,popular_by_likecount,👀,0.374047,2,34,3.529,6.031052,0.040856,14.874189
2,👀,30,10,10,6.946089,0.815676,0.533645,0.979301,5.9333,8,1.0,0.814722,0.875,5573,0.979301,0.224244,8,1,auth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-20T12:50:00Z,2026-03-20T13:00:00Z,5,at://did:plc:lvxmuo4i5kwqqu3w72qbq2l6/app.bsky.feed.post/3mhhvmdzhac27,https://bsky.app/profile/did:plc:lvxmuo4i5kwqqu3w72qbq2l6/post/3mhhvmdzhac27,did:plc:lvxmuo4i5kwqqu3w72qbq2l6,stringslingin.bsky.social,2026-03-20T06:35:37.677Z,2026-03-20T06:35:38.852Z,2026-03-20T06:40:43Z,at://did:plc:h4s4kqqg2d2f7m4337244vyj/app.bsky.feed.generator/aaabsvze2lpoq,longtail_random,👀,0.358104,2,53,18.9691,9.025698,0.239534,21.239534
2,👀,30,10,10,6.946089,0.815676,0.533645,0.979301,5.9333,8,1.0,0.814722,0.875,5573,0.979301,0.224244,8,1,auth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-20T12:50:00Z,2026-03-20T13:00:00Z,6,at://did:plc:s5h62dw7ovtat5ppmxdlbgco/app.bsky.feed.post/3mhi7xaky3k2k,https://bsky.app/profile/did:plc:s5h62dw7ovtat5ppmxdlbgco/post/3mhi7xaky3k2k,did:plc:s5h62dw7ovtat5ppmxdlbgco,rrou.bsky.social,2026-03-20T09:40:40.575Z,2026-03-20T09:40:40.751Z,2026-03-20T09:45:21Z,at://did:plc:h4s4kqqg2d2f7m4337244vyj/app.bsky.feed.generator/aaabsvze2lpoq,longtail_random,👀,0.356207,1,43,11.5875,7.674776,0.322062,18.155396
2,👀,30,10,10,6.946089,0.815676,0.533645,0.979301,5.9333,8,1.0,0.814722,0.875,5573,0.979301,0.224244,8,1,auth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-20T12:50:00Z,2026-03-20T13:00:00Z,7,at://did:plc:y2xz7ixmonnxqsvoyv7sq73s/app.bsky.feed.post/3mhgdqme3wc2r,https://bsky.app/profile/did:plc:y2xz7ixmonnxqsvoyv7sq73s/post/3mhgdqme3wc2r,did:plc:y2xz7ixmonnxqsvoyv7sq73s,techadvisor.com,2026-03-19T15:43:13.542Z,2026-03-19T15:43:14.852Z,2026-03-19T15:50:02Z,at://did:plc:cndfx4udwgvpjaakvxvh7wm5/app.bsky.feed.generator/flipboard-tech,popular_by_likecount,👀,0.25,1,45,6.7858,14.420312,0.112905,23.779572
